"","X","ST166Q02HA","ST166Q05HA","ST216Q01HA","ST216Q02HA","ST216Q03HA","FL167Q01HA","FL167Q02HA","FL167Q04HA","GRADE","MISCED","FISCED","BMMJ1","BFMJ2","BSMJ","literacy","sisced","COGFLEX","FLFAMILY","METASPAM"
"1882",76784,4,6,3,3,2,3,3,2,0,3,2,49.48,49.48,62.45,562.4692,6,0.5565133,0.242359,0.02282897
"1883",76785,5,6,3,2,4,4,4,3,0,5,5,44.94,70.34,79.74,468.5656,6,0.7561493,1.38799,0.2128065
"1884",76787,3,4,3,1,1,2,2,3,0,6,6,76.65,65.01,79.74,523.3517,6,-0.8433763,-0.3293836,-0.6328778
"1885",76789,5,6,3,2,3,3,3,3,0,6,4,58.05,16.34,88.7,623.7539,6,0.400682,0.4989672,0.2128065
"1886",76790,1,1,2,1,1,1,1,4,-1,4,6,24.53,44.94,73.71,443.3427,3,-1.382489,-1.082085,-2.556371
"1887",76791,5,1,2,1,1,3,3,3,-1,2,1,31.08,25.06,62.45,492.5436,5,-1.382489,0.4989672,-1.265339
"1888",76794,5,6,2,3,3,2,3,3,0,3,3,24.16,27.52,70.5,560.5758,6,0.4248851,0.06720907,0.2128065
"1889",76797,4,6,2,2,2,4,4,4,0,6,6,26.64,57.25,79.74,592.0868,6,-0.4516872,1.618794,0.02282897
"1890",76800,1,2,1,3,1,3,2,4,0,0,2,14.21,28.84,37.59,356.8767,6,-0.7928739,0.08073719,-1.644558
"1891",76802,5,1,3,2,2,3,3,3,-1,2,4,16.8,56.38,46.76,415.4813,6,0.04681409,0.4989672,-1.265339
"1892",76806,6,3,4,4,5,1,1,2,-1,2,2,57.03,57.03,88.7,402.5186,6,2.296624,-1.352532,-0.4992788
"1893",76807,1,1,3,1,1,4,3,3,0,5,5,31.08,62.13,82.31,652.7398,6,-0.8433763,0.9911914,-2.556371
"1894",76810,2,5,2,2,2,2,2,3,0,4,6,70.34,81.4,78.69,589.3095,6,-0.4516872,-0.3293836,-0.4965002
"1895",76811,6,6,3,3,3,2,2,2,0,4,2,19.66,37.22,58.77,555.655,6,0.9144362,-0.562244,0.5537946
"1896",76813,5,2,1,1,2,4,4,4,-1,1,1,17,17,57.99,508.8761,6,-1.555957,1.618794,-0.9421156
"1897",76814,6,6,3,2,2,2,2,3,0,2,4,43.33,17.85,79.49,553.4699,6,0.04681409,-0.3293836,0.5537946
"1898",76815,6,6,4,5,5,3,3,3,0,6,4,73.38,70.34,84.14,551.6996,6,2.725408,0.4989672,0.5537946
