,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
73099,6.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,-1.0,0.0,0.0,17.0,15.35,30.78,362.5818,5.0
73100,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,82.41,71.39,88.96,480.8292,6.0
73101,4.0,6.0,1.0,3.0,1.0,3.0,4.0,4.0,0.0,6.0,6.0,54.55,57.68,81.92,609.8208000000001,6.0
73103,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,6.0,1.0,68.88,47.42,56.57,490.40520000000004,2.0
73105,6.0,6.0,3.0,2.0,5.0,4.0,2.0,4.0,0.0,2.0,0.0,26.64,13.34,85.85,584.5465,6.0
73107,6.0,6.0,2.0,1.0,4.0,1.0,3.0,3.0,-1.0,2.0,4.0,25.06,43.33,85.85,502.4043,1.0
73108,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,6.0,2.0,81.05,22.57,73.91,547.8906,6.0
73109,4.0,6.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,16.5,51.5,51.5,496.6193999999999,2.0
73110,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,-2.0,6.0,6.0,16.5,27.81,16.34,424.84219999999993,1.0
73111,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,1.0,5.0,24.53,25.04,83.09,489.85569999999996,6.0
73115,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,-2.0,5.0,1.0,16.38,25.95,86.72,493.22070000000014,6.0
73117,6.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,6.0,75.5,65.01,88.7,617.8286,6.0
73119,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,2.0,1.0,26.64,30.78,80.92,631.3821,6.0
73120,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,16.38,22.77,78.76,581.3088,6.0
73124,6.0,6.0,3.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,17.0,37.83,85.85,521.8679999999999,6.0
73125,6.0,6.0,2.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,71.39,57.03,79.05,451.34250000000003,6.0
73129,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,5.0,1.0,17.0,16.34,29.18,425.26099999999997,2.0
73131,6.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,6.0,82.41,65.01,88.7,524.7399,6.0
73133,3.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,0.0,4.0,2.0,28.48,57.03,80.46,438.4997,3.0
73136,6.0,6.0,2.0,5.0,5.0,2.0,1.0,3.0,0.0,6.0,6.0,78.69,77.1,70.34,630.1639000000001,6.0
73140,6.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,0.0,6.0,6.0,65.01,81.13,79.49,570.3475999999999,6.0
73142,5.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,6.0,6.0,79.74,85.41,79.74,586.2271999999999,6.0
73145,6.0,6.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,51.56,22.16,70.34,496.61350000000004,6.0
73148,6.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,44.94,85.41,81.92,547.0732,6.0
73149,6.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,6.0,5.0,74.79,57.03,65.23,519.5507,6.0
73150,6.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,76.49,60.92,88.7,714.0338,6.0
73151,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,23.47,43.33,79.05,565.0202,6.0
73152,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,16.38,33.76,29.18,477.7901,6.0
73154,3.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,3.0,3.0,57.99,33.76,76.65,577.0939000000001,3.0
73155,5.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,35.7,35.7,79.05,648.2917,6.0
73156,6.0,6.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,26.64,17.0,86.72,576.4553000000001,6.0
73157,4.0,6.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,6.0,6.0,55.25,50.37,85.85,505.4611,6.0
73158,6.0,6.0,3.0,2.0,3.0,4.0,3.0,2.0,-1.0,4.0,2.0,18.13,36.97,51.35,581.506,5.0
73159,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,14.21,57.03,46.76,497.858,6.0
73160,6.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,-1.0,2.0,2.0,28.48,30.78,78.17,382.9275,3.0
73161,5.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,4.0,4.0,31.08,30.34,29.18,477.2371999999999,3.0
73162,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,4.0,3.0,36.92,14.21,74.66,620.1615,6.0
73163,6.0,6.0,4.0,2.0,2.0,3.0,4.0,4.0,0.0,6.0,6.0,26.64,72.83,75.13,562.8564,6.0
73168,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,-1.0,2.0,2.0,31.08,28.52,50.9,412.1902,3.0
73170,6.0,6.0,3.0,3.0,4.0,1.0,1.0,2.0,0.0,6.0,6.0,70.34,36.92,82.41,519.5525,6.0
73171,5.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,0.0,4.0,4.0,26.64,70.34,70.34,462.4535000000001,6.0
73172,4.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,6.0,6.0,81.92,57.04,84.14,582.2399,6.0
73174,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,16.5,57.03,80.46,553.8486,6.0
73175,6.0,6.0,3.0,3.0,4.0,2.0,3.0,3.0,0.0,6.0,6.0,76.65,71.39,81.92,655.0809999999999,6.0
73176,6.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,-3.0,6.0,6.0,71.39,40.54,39.73,470.379,6.0
73178,4.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,-1.0,2.0,0.0,17.0,26.62,84.14,376.7213,5.0
73179,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,6.0,3.0,75.54,25.95,88.31,551.7751000000001,6.0
73180,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,24.98,55.03,88.7,546.9821,6.0
73181,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,2.0,2.0,50.15,50.15,53.15,441.06350000000003,6.0
73182,5.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,0.0,4.0,3.0,23.57,35.34,36.35,547.3983999999999,6.0
73183,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,0.0,1.0,21.64,50.15,62.45,450.57949999999994,4.0
73184,5.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,0.0,6.0,4.0,74.79,51.5,50.9,587.5322,6.0
73187,5.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,1.0,6.0,5.0,68.7,23.8,80.46,584.8399000000001,6.0
73189,6.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,4.0,2.0,35.34,29.16,88.7,552.9339,6.0
73190,5.0,6.0,3.0,2.0,2.0,4.0,4.0,3.0,0.0,2.0,4.0,21.81,25.95,82.41,651.9834,6.0
73192,6.0,6.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,59.76,82.41,77.1,581.6632000000001,6.0
73193,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,47.42,23.8,88.96,582.0752,6.0
73195,6.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,50.15,51.5,29.18,569.5327,3.0
73196,6.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,31.08,43.85,74.66,563.6340000000001,6.0
73198,3.0,6.0,3.0,1.0,1.0,3.0,4.0,4.0,0.0,6.0,5.0,76.49,55.25,84.61,505.45679999999993,6.0
73199,6.0,6.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,14.21,22.57,29.18,611.3426999999999,3.0
73202,4.0,6.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,23.47,22.77,32.75,614.3059,6.0
73203,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,0.0,0.0,32.67,22.57,50.9,470.0705000000001,2.0
73205,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,-1.0,6.0,6.0,18.13,13.34,76.49,363.9015,2.0
73206,5.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,-1.0,1.0,1.0,28.48,30.78,86.72,535.7863,6.0
73208,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,85.41,73.38,62.45,594.1095000000001,6.0
73209,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,85.41,65.01,80.78,600.2682,6.0
73212,6.0,6.0,3.0,2.0,2.0,4.0,3.0,3.0,0.0,6.0,2.0,58.77,59.89,88.7,542.6613,6.0
73213,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,6.0,6.0,81.13,77.1,88.7,598.3889999999999,6.0
73214,6.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,4.0,82.41,70.34,70.34,541.9394,6.0
73220,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,6.0,71.39,51.56,86.72,439.97700000000003,6.0
73221,5.0,6.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,6.0,6.0,57.37,74.66,75.54,520.0907,6.0
73222,5.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,31.08,25.95,86.72,639.7913,6.0
73223,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,6.0,6.0,24.98,41.63,65.23,479.70860000000005,6.0
73224,6.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,5.0,24.16,26.85,80.75,569.7919999999999,6.0
73226,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,4.0,1.0,14.21,28.48,79.05,554.7032,6.0
73227,6.0,6.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,1.0,2.0,16.5,24.98,63.03,606.5821,6.0
73230,6.0,6.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,6.0,51.56,50.9,82.41,532.1576,6.0
73231,6.0,6.0,3.0,2.0,3.0,4.0,4.0,4.0,0.0,6.0,6.0,78.69,62.45,81.92,547.0949,6.0
73232,6.0,6.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,6.0,2.0,81.4,36.35,71.39,615.1162,6.0
73237,6.0,6.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,6.0,6.0,76.65,77.1,77.1,601.2301,6.0
73238,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,5.0,5.0,76.65,56.57,64.44,558.8087000000002,6.0
73240,6.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,2.0,4.0,17.0,25.51,77.1,495.3693,3.0
73243,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,0.0,4.0,4.0,57.38,70.34,70.34,549.4433,6.0
73244,6.0,6.0,3.0,4.0,3.0,4.0,4.0,4.0,0.0,6.0,6.0,60.29,72.83,62.45,559.5943,6.0
73245,2.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,4.0,0.0,23.57,13.35,68.88,452.21360000000004,3.0
73246,2.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,-1.0,1.0,1.0,17.0,11.74,25.04,444.2751,2.0
73247,6.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,-1.0,1.0,1.0,23.47,31.72,30.78,506.09170000000006,5.0
73250,6.0,6.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,2.0,1.0,25.06,26.62,84.61,630.2428,6.0
73251,6.0,6.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,6.0,6.0,46.76,70.34,46.76,580.2718000000001,6.0
73253,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,4.0,30.49,51.01,75.54,496.2508000000001,6.0
73254,6.0,6.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,3.0,26.64,46.38,63.03,638.2759,6.0
73255,6.0,6.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,70.5,78.69,81.92,603.5229000000002,6.0
73257,3.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,5.0,5.0,62.45,80.75,70.34,515.5395,6.0
73258,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,4.0,2.0,28.48,62.39,46.76,510.79260000000005,6.0
73261,4.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,16.38,59.89,70.34,509.1202,6.0
73262,4.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,-1.0,0.0,1.0,17.0,30.78,84.14,383.2092,6.0
73263,6.0,6.0,3.0,2.0,2.0,4.0,4.0,4.0,0.0,5.0,2.0,24.98,59.89,79.05,564.8193,6.0
73264,3.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,6.0,6.0,88.7,70.34,88.7,608.9242,6.0
73266,5.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,17.0,16.34,86.72,536.6965,6.0
73272,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,-2.0,2.0,2.0,25.04,24.53,36.35,366.4169,1.0
73273,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,-1.0,6.0,6.0,82.41,81.92,88.7,650.5036,6.0
73276,6.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,6.0,6.0,84.61,57.37,81.92,626.0445,6.0
73277,5.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,-1.0,2.0,2.0,26.64,26.62,78.69,499.28059999999994,5.0
73278,6.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,14.21,23.57,73.38,580.1436,6.0
73280,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,-1.0,2.0,1.0,14.21,22.57,76.49,502.81239999999997,6.0
73281,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,16.8,28.48,63.03,517.5833,3.0
73282,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,-1.0,2.0,0.0,14.21,28.52,23.57,497.3031000000001,5.0
73283,6.0,6.0,4.0,2.0,5.0,1.0,1.0,1.0,-1.0,2.0,2.0,55.25,70.34,78.76,533.4906,3.0
73284,6.0,6.0,3.0,2.0,4.0,4.0,1.0,4.0,0.0,6.0,0.0,68.7,18.13,50.9,584.4860000000001,6.0
73285,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,-1.0,2.0,1.0,16.5,15.35,31.08,511.54839999999996,1.0
73289,3.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,6.0,6.0,49.48,49.48,85.85,559.2658,6.0
73291,6.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,-1.0,4.0,5.0,21.64,23.57,30.78,489.54839999999996,5.0
73292,6.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,23.47,59.89,77.1,500.57199999999995,6.0
73293,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,23.47,26.6,88.7,549.6535,6.0
73294,6.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,-1.0,2.0,3.0,25.95,25.95,85.85,487.98960000000005,6.0
73295,5.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,0.0,4.0,0.0,24.53,39.04,82.31,572.1587000000001,5.0
73297,6.0,6.0,2.0,2.0,4.0,3.0,3.0,3.0,0.0,6.0,0.0,76.65,24.45,68.7,510.2195,6.0
73299,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,-1.0,2.0,1.0,23.47,22.75,78.69,434.6689,6.0
73301,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,6.0,43.33,28.12,86.72,486.14520000000005,6.0
73303,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,79.74,65.01,79.74,631.0101000000001,4.0
73304,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,18.95,25.95,63.03,507.87610000000006,3.0
73306,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,2.0,58.77,15.35,72.83,475.6344,6.0
73310,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,76.65,76.65,76.98,469.98580000000004,6.0
73312,6.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,-1.0,5.0,0.0,20.91,13.87,82.41,397.34890000000007,5.0
73314,6.0,6.0,3.0,1.0,2.0,3.0,3.0,2.0,0.0,6.0,2.0,68.7,25.06,88.7,520.4664,6.0
73315,6.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,30.49,70.34,85.85,491.1240000000001,6.0
73316,6.0,6.0,3.0,2.0,5.0,1.0,1.0,4.0,-1.0,2.0,2.0,39.04,24.49,65.23,503.742,6.0
73318,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,4.0,23.41,62.13,19.83,454.64790000000005,6.0
73319,6.0,6.0,3.0,3.0,5.0,3.0,2.0,3.0,-1.0,5.0,5.0,26.64,36.92,46.76,477.39040000000006,5.0
73323,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,-2.0,2.0,1.0,26.64,20.91,29.18,382.67830000000004,3.0
73325,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,4.0,4.0,71.39,76.65,79.49,558.0588999999999,6.0
73327,6.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,6.0,1.0,76.65,30.34,79.74,549.4741,6.0
73329,6.0,6.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,6.0,17.0,51.5,81.92,596.8801,6.0
73332,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,-1.0,1.0,5.0,14.21,36.97,47.42,448.1197,5.0
73333,6.0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,6.0,4.0,65.01,60.92,70.34,606.4718,6.0
73336,5.0,6.0,2.0,2.0,4.0,4.0,4.0,4.0,0.0,2.0,1.0,51.56,59.89,81.92,512.4292999999999,6.0
73338,4.0,6.0,2.0,1.0,4.0,3.0,4.0,4.0,0.0,6.0,2.0,44.94,41.27,80.78,675.8854,6.0
73339,5.0,6.0,3.0,4.0,4.0,2.0,1.0,3.0,0.0,6.0,0.0,24.98,22.57,51.5,423.43950000000007,6.0
73342,5.0,6.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,30.9,23.57,81.92,525.0210000000001,6.0
73345,5.0,4.0,3.0,2.0,4.0,1.0,1.0,2.0,0.0,6.0,6.0,82.41,76.49,84.61,630.4173,6.0
73352,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,-1.0,2.0,2.0,14.82,22.57,85.85,560.0686,6.0
73356,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,4.0,1.0,50.37,22.57,73.38,602.8960000000001,6.0
73358,5.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,6.0,6.0,82.41,56.5,73.71,537.0478,6.0
73360,5.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,4.0,39.04,20.78,46.76,467.04400000000004,6.0
73363,5.0,6.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,5.0,5.0,76.65,62.39,85.85,554.3851,6.0
73368,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,-2.0,2.0,2.0,17.0,30.35,62.45,453.99300000000005,2.0
73369,6.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,-1.0,3.0,0.0,35.34,35.34,64.44,355.9200000000001,2.0
73372,6.0,6.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,6.0,6.0,70.1,85.41,86.72,568.6534999999999,6.0
73373,5.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,0.0,2.0,4.0,16.38,25.06,50.9,468.76300000000003,3.0
73376,6.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,26.6,67.94,487.64799999999997,6.0
73378,6.0,6.0,2.0,2.0,1.0,4.0,3.0,4.0,0.0,5.0,5.0,64.4,71.39,78.69,595.5683,5.0
73380,6.0,6.0,4.0,2.0,4.0,2.0,3.0,3.0,-1.0,5.0,6.0,25.2,70.34,50.9,396.2294,2.0
73382,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,0.0,6.0,6.0,55.03,49.48,88.7,657.0559999999999,6.0
73384,6.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,4.0,4.0,71.39,57.03,79.49,506.389,6.0
73386,5.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,-1.0,1.0,6.0,24.53,41.27,81.92,521.1398999999999,3.0
73387,3.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,-1.0,4.0,4.0,39.04,30.34,17.0,433.3639,2.0
73388,6.0,5.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,4.0,2.0,50.37,56.38,85.85,629.4936,6.0
73391,6.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,6.0,4.0,70.89,51.5,81.92,601.2059999999999,6.0
73392,6.0,6.0,4.0,3.0,4.0,2.0,2.0,2.0,0.0,6.0,2.0,76.49,28.48,70.34,568.2235000000001,6.0
73394,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,24.98,17.79,84.14,430.3642,6.0
73395,6.0,6.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,5.0,6.0,65.01,72.3,88.7,585.4523,6.0
73397,4.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,2.0,4.0,42.3,33.83,85.85,597.4894,6.0
73399,4.0,6.0,1.0,1.0,2.0,4.0,4.0,4.0,-1.0,6.0,4.0,58.77,75.5,86.72,628.1661000000001,6.0
73402,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,-2.0,6.0,2.0,23.57,25.95,79.74,483.40689999999984,5.0
73403,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,26.64,22.57,88.96,311.07550000000003,6.0
73406,6.0,6.0,3.0,2.0,3.0,1.0,2.0,1.0,0.0,4.0,4.0,17.0,36.92,81.13,553.2785999999999,6.0
73408,5.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,5.0,6.0,31.08,71.39,75.5,601.8806999999999,6.0
73409,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,-2.0,2.0,1.0,20.91,19.41,64.44,411.8773000000001,2.0
73416,6.0,6.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,4.0,4.0,24.98,25.06,58.77,527.4137000000001,6.0
73417,6.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,17.0,62.13,80.92,464.64549999999997,6.0
73418,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,18.95,18.95,88.31,514.7630999999999,6.0
73419,3.0,6.0,4.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,62.13,43.85,80.92,586.1949,6.0
73420,6.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,4.0,5.0,60.29,70.34,73.91,602.7463,6.0
73422,6.0,5.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,6.0,3.0,70.89,57.03,84.14,478.94179999999994,3.0
73424,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,2.0,1.0,26.64,11.01,76.65,461.98369999999994,6.0
73426,5.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,5.0,5.0,21.64,33.76,60.92,534.2189999999999,6.0
73428,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,2.0,23.47,27.91,31.08,418.1444,3.0
73430,6.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,16.38,22.57,29.18,539.6126999999999,2.0
73432,4.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,-1.0,2.0,1.0,16.5,25.04,24.53,447.113,2.0
73433,6.0,6.0,3.0,5.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,28.48,22.57,68.77,635.195,6.0
73435,6.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,31.08,40.54,76.98,624.374,6.0
73436,1.0,6.0,2.0,2.0,3.0,2.0,3.0,4.0,0.0,1.0,2.0,14.21,25.95,79.74,499.17980000000006,6.0
73437,6.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,-1.0,1.0,2.0,28.48,24.8,46.76,470.0906,6.0
73440,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,5.0,5.0,31.08,28.52,81.92,368.92320000000007,6.0
73441,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,0.0,1.0,17.0,22.57,85.85,365.21629999999993,6.0
73442,1.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,0.0,6.0,2.0,76.65,44.94,46.76,516.9903,3.0
73443,6.0,6.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,6.0,3.0,76.65,26.85,64.44,529.6372,6.0
73444,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,-1.0,2.0,1.0,58.77,28.48,31.08,393.46829999999994,2.0
73451,5.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,6.0,75.54,80.78,64.44,604.6442,6.0
73454,6.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,6.0,6.0,68.55,79.74,88.31,540.9625,6.0
73456,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,-2.0,1.0,2.0,16.38,16.34,30.78,350.6479,2.0
73457,4.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,6.0,6.0,82.41,82.41,79.05,672.7032,6.0
73458,4.0,6.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,6.0,6.0,70.5,62.39,73.38,619.0934,6.0
73463,5.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,6.0,2.0,48.66,31.08,68.7,528.2161,6.0
73464,5.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,-1.0,2.0,2.0,26.64,21.96,85.85,379.22640000000007,6.0
73465,3.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,1.0,2.0,23.47,27.91,86.72,647.1304,6.0
73469,5.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,4.0,2.0,39.02,32.5,85.85,580.9615000000001,6.0
73475,6.0,6.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,2.0,1.0,25.49,22.57,86.72,585.2636999999999,6.0
