,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
75957,6.0,6.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,6.0,6.0,70.34,71.39,88.7,668.7155,6.0
75958,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,6.0,4.0,65.01,70.34,70.34,478.5937,6.0
75959,6.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,5.0,5.0,28.48,28.03,85.85,551.5594,6.0
75960,6.0,6.0,3.0,3.0,2.0,3.0,3.0,4.0,0.0,2.0,2.0,55.25,26.13,81.4,566.9929,6.0
75961,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,82.41,82.41,79.05,557.8259,6.0
75963,6.0,6.0,3.0,4.0,4.0,2.0,4.0,3.0,-1.0,1.0,2.0,24.53,26.62,50.15,512.2536,6.0
75965,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,-1.0,2.0,0.0,16.5,16.33,51.5,410.04319999999996,6.0
75966,6.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,35.34,30.78,63.03,531.8188,6.0
75967,6.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,-1.0,2.0,2.0,26.64,26.6,26.64,506.604,2.0
75969,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,14.21,19.66,88.7,576.903,6.0
75970,4.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,6.0,3.0,68.7,32.5,60.92,603.517,6.0
75971,6.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,4.0,2.0,39.02,21.81,83.81,592.0333,6.0
75972,6.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,5.0,2.0,31.08,25.95,70.34,554.5957999999998,6.0
75974,4.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,6.0,3.0,76.65,50.73,85.85,596.6631,6.0
75975,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,6.0,4.0,39.02,36.92,70.34,554.8311000000001,6.0
75976,4.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,70.34,17.0,85.85,477.9945000000001,6.0
75980,6.0,6.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,5.0,24.98,70.34,60.92,641.7144,6.0
75981,6.0,6.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,14.21,70.34,81.92,607.6603,6.0
75982,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,4.0,2.0,50.37,46.38,81.4,551.1127,6.0
75992,6.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,23.41,16.34,88.31,629.4574,6.0
75993,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,21.64,59.89,76.24,503.41100000000006,3.0
75994,5.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,4.0,4.0,79.05,62.39,84.14,480.80789999999996,6.0
75997,3.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,28.48,37.83,83.09,521.7846,6.0
75999,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,-1.0,6.0,6.0,75.5,30.34,50.9,462.5690999999999,2.0
76000,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,16.5,59.89,88.7,557.9095,6.0
76002,6.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,6.0,4.0,43.33,31.72,77.1,523.2719999999999,6.0
76003,6.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,61.57,16.8,50.9,513.0519,6.0
76005,6.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,31.08,65.42,77.1,568.9832,6.0
76006,2.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,23.47,33.76,88.7,595.167,6.0
76007,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,6.0,3.0,54.55,77.1,85.85,469.76419999999996,6.0
76008,4.0,6.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,6.0,6.0,85.41,82.41,75.54,653.0926,6.0
76010,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,6.0,5.0,68.7,60.29,78.17,529.8204,6.0
76011,5.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,4.0,16.38,56.5,70.1,512.2864000000001,6.0
76015,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,6.0,2.0,57.38,71.39,77.1,416.65200000000004,6.0
76017,5.0,6.0,3.0,3.0,5.0,2.0,3.0,4.0,-1.0,0.0,2.0,24.15,51.5,67.94,434.00469999999996,6.0
76018,6.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,6.0,5.0,39.04,23.8,85.85,581.5488,6.0
76019,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,-1.0,5.0,5.0,23.47,36.92,88.7,549.3504,3.0
76021,5.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,0.0,5.0,5.0,20.35,27.91,68.7,535.5188999999999,6.0
76022,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,4.0,44.94,35.34,79.74,552.0786999999999,6.0
76023,6.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,0.0,2.0,2.0,23.47,57.03,70.34,509.02979999999997,6.0
76025,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,70.34,25.06,88.96,490.7148000000001,6.0
76026,6.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,-1.0,3.0,2.0,62.39,59.89,79.74,500.302,6.0
76027,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,-3.0,1.0,5.0,20.95,24.16,30.78,376.466,1.0
76028,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,-2.0,3.0,3.0,28.48,33.16,64.44,517.8900999999998,6.0
76031,3.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,23.47,30.78,85.85,601.3557000000001,6.0
76032,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,44.94,36.92,29.18,526.2637000000001,5.0
76033,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,2.0,2.0,24.53,15.35,50.9,379.0282,6.0
76038,2.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0,0.0,5.0,6.0,67.11,42.3,80.92,490.19909999999993,6.0
76042,5.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,35.34,51.5,67.94,620.9744,6.0
76043,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,-1.0,0.0,2.0,14.21,30.78,61.82,489.78099999999995,2.0
76049,5.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,2.0,1.0,21.64,22.77,24.98,373.80300000000005,6.0
76050,6.0,6.0,3.0,1.0,1.0,3.0,4.0,3.0,0.0,4.0,2.0,55.25,18.08,53.15,602.6596999999999,6.0
76052,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,6.0,2.0,51.01,17.0,50.9,552.6832999999999,3.0
76056,4.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,-1.0,2.0,2.0,23.47,15.35,31.08,382.8945,2.0
76059,6.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,6.0,2.0,76.65,24.49,50.9,492.26540000000006,6.0
76062,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,-2.0,6.0,6.0,70.34,31.72,24.53,353.821,6.0
76063,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,48.66,65.01,86.72,510.9649000000001,6.0
76065,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,6.0,17.0,73.38,73.91,588.6895999999999,6.0
76067,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,3.0,0.0,71.39,59.89,77.1,603.682,6.0
76068,5.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,13.24,25.06,80.46,564.5143,6.0
76069,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,0.0,5.0,5.0,43.85,43.85,76.98,562.0667000000001,6.0
76070,6.0,6.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,6.0,6.0,81.05,86.72,73.71,533.9433,2.0
76073,6.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0,6.0,2.0,82.41,37.83,72.83,602.1118,6.0
76074,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,-2.0,2.0,2.0,17.0,59.89,59.89,422.3989,1.0
76075,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.0,6.0,6.0,53.15,23.57,68.7,409.7267,3.0
76076,6.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,13.24,22.57,88.7,568.5181,6.0
76077,6.0,6.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,28.48,28.97,79.05,556.7297000000001,6.0
